date,price,area,productivity,quantity,RON 95-III
11/4/2020,11500,229.4,71.7,1645.1,14.94
11/5/2020,11500,229.4,71.7,1645.1,14.94
11/6/2020,11500,229.4,71.7,1645.1,14.94
11/7/2020,11500,229.4,71.7,1645.1,14.94
11/8/2020,11500,229.4,71.7,1645.1,14.94
11/9/2020,11500,229.4,71.7,1645.1,14.94
11/10/2020,11500,229.4,71.7,1645.1,14.94
11/11/2020,11500,229.4,71.7,1645.1,14.7
11/12/2020,11500,229.4,71.7,1645.1,14.7
11/13/2020,11500,229.4,71.7,1645.1,14.7
11/14/2020,11500,229.4,71.7,1645.1,14.7
11/15/2020,11500,229.4,71.7,1645.1,14.7
11/16/2020,11500,229.4,71.7,1645.1,14.7
11/17/2020,11500,229.4,71.7,1645.1,14.7
11/18/2020,11500,229.4,71.7,1645.1,14.7
11/19/2020,11500,229.4,71.7,1645.1,14.7
11/20/2020,11500,229.4,71.7,1645.1,14.7
11/21/2020,11500,229.4,71.7,1645.1,14.7
11/22/2020,11500,229.4,71.7,1645.1,14.7
11/23/2020,11500,229.4,71.7,1645.1,14.7
11/24/2020,11500,229.4,71.7,1645.1,14.7
11/25/2020,11500,229.4,71.7,1645.1,14.7
11/26/2020,11500,229.4,71.7,1645.1,15.35
11/27/2020,11500,229.4,71.7,1645.1,15.35
11/28/2020,11500,229.4,71.7,1645.1,15.35
11/29/2020,11500,229.4,71.7,1645.1,15.35
11/30/2020,11500,229.4,71.7,1645.1,15.35
12/1/2020,11500,229.4,71.7,1645.1,15.35
12/2/2020,11500,229.4,71.7,1645.1,15.35
12/3/2020,11500,229.4,71.7,1645.1,15.35
12/4/2020,11500,229.4,71.7,1645.1,15.35
12/5/2020,11500,229.4,71.7,1645.1,15.35
12/6/2020,11500,229.4,71.7,1645.1,15.35
12/7/2020,11500,229.4,71.7,1645.1,15.35
12/8/2020,11500,229.4,71.7,1645.1,15.35
12/9/2020,11500,229.4,71.7,1645.1,15.35
12/10/2020,11500,229.4,71.7,1645.1,15.35
12/11/2020,11500,229.4,71.7,1645.1,16
12/12/2020,11500,229.4,71.7,1645.1,16
12/13/2020,11500,229.4,71.7,1645.1,16
12/14/2020,11500,229.4,71.7,1645.1,16
12/15/2020,11000,229.4,71.7,1645.1,16
12/16/2020,11000,229.4,71.7,1645.1,16
12/17/2020,11000,229.4,71.7,1645.1,16
12/18/2020,11000,229.4,71.7,1645.1,16
12/19/2020,11000,229.4,71.7,1645.1,16
12/20/2020,11000,229.4,71.7,1645.1,16
12/21/2020,11000,229.4,71.7,1645.1,16
12/22/2020,11000,229.4,71.7,1645.1,16
12/23/2020,11000,229.4,71.7,1645.1,16
12/24/2020,11000,229.4,71.7,1645.1,16
12/25/2020,11000,229.4,71.7,1645.1,16
12/26/2020,11000,229.4,71.7,1645.1,16.47
12/27/2020,11000,229.4,71.7,1645.1,16.47
12/28/2020,11500,229.4,71.7,1645.1,16.47
12/29/2020,11500,229.4,71.7,1645.1,16.47
12/30/2020,11500,229.4,71.7,1645.1,16.47
12/31/2020,11500,229.4,71.7,1645.1,16.47
1/1/2021,11500,229.4,71.7,1645.1,16.47
1/2/2021,11500,229.4,71.7,1645.1,16.47
1/3/2021,11500,229.4,71.7,1645.1,16.47
1/4/2021,11500,230.4,76.9,1771.8,16.47
1/5/2021,11500,230.4,76.9,1771.8,16.47
1/6/2021,11500,230.4,76.9,1771.8,16.47
1/7/2021,11500,230.4,76.9,1771.8,16.47
1/8/2021,11500,230.4,76.9,1771.8,16.47
1/9/2021,11500,230.4,76.9,1771.8,16.47
1/10/2021,11500,230.4,76.9,1771.8,16.47
1/11/2021,11500,230.4,76.9,1771.8,16.93
1/12/2021,11500,230.4,76.9,1771.8,16.93
1/13/2021,11500,230.4,76.9,1771.8,16.93
1/14/2021,11500,230.4,76.9,1771.8,16.93
1/15/2021,11500,230.4,76.9,1771.8,16.93
1/16/2021,11500,230.4,76.9,1771.8,16.93
1/17/2021,11500,230.4,76.9,1771.8,16.93
1/18/2021,11500,230.4,76.9,1771.8,16.93
1/19/2021,11500,230.4,76.9,1771.8,16.93
1/20/2021,11500,230.4,76.9,1771.8,16.93
1/21/2021,11500,230.4,76.9,1771.8,16.93
1/22/2021,11500,230.4,76.9,1771.8,16.93
1/23/2021,11500,230.4,76.9,1771.8,16.93
1/24/2021,11500,230.4,76.9,1771.8,16.93
1/25/2021,11500,230.4,76.9,1771.8,16.93
1/26/2021,11500,230.4,76.9,1771.8,17.27
1/27/2021,11500,230.4,76.9,1771.8,17.27
1/28/2021,11500,230.4,76.9,1771.8,17.27
1/29/2021,11500,230.4,76.9,1771.8,17.27
1/30/2021,11500,230.4,76.9,1771.8,17.27
1/31/2021,11500,230.4,76.9,1771.8,17.27
2/1/2021,11500,230.4,76.9,1771.8,17.27
2/2/2021,11500,230.4,76.9,1771.8,17.27
2/3/2021,11500,230.4,76.9,1771.8,17.27
2/4/2021,11500,230.4,76.9,1771.8,17.27
2/5/2021,11500,230.4,76.9,1771.8,17.27
2/6/2021,11500,230.4,76.9,1771.8,17.27
2/7/2021,11500,230.4,76.9,1771.8,17.27
2/8/2021,11500,230.4,76.9,1771.8,17.27
2/9/2021,11500,230.4,76.9,1771.8,17.27
2/10/2021,11500,230.4,76.9,1771.8,17.27
2/11/2021,11500,230.4,76.9,1771.8,17.27
2/12/2021,11500,230.4,76.9,1771.8,17.27
2/13/2021,11500,230.4,76.9,1771.8,17.27
2/14/2021,11500,230.4,76.9,1771.8,17.27
2/15/2021,11500,230.4,76.9,1771.8,17.27
2/16/2021,11500,230.4,76.9,1771.8,17.27
2/17/2021,11500,230.4,76.9,1771.8,17.27
2/18/2021,11500,230.4,76.9,1771.8,17.27
2/19/2021,11500,230.4,76.9,1771.8,17.27
2/20/2021,11500,230.4,76.9,1771.8,17.27
2/21/2021,11500,230.4,76.9,1771.8,17.27
2/22/2021,11500,230.4,76.9,1771.8,17.27
2/23/2021,11500,230.4,76.9,1771.8,17.27
2/24/2021,11500,230.4,76.9,1771.8,17.27
2/25/2021,11500,230.4,76.9,1771.8,18.08
2/26/2021,11500,230.4,76.9,1771.8,18.08
2/27/2021,11500,230.4,76.9,1771.8,18.08
2/28/2021,11500,230.4,76.9,1771.8,18.08
3/1/2021,11500,230.4,76.9,1771.8,18.08
3/2/2021,11500,230.4,76.9,1771.8,18.08
3/3/2021,11500,230.4,76.9,1771.8,18.08
3/4/2021,11500,230.4,76.9,1771.8,18.08
3/5/2021,12000,230.4,76.9,1771.8,18.08
3/6/2021,12000,230.4,76.9,1771.8,18.08
3/7/2021,12000,230.4,76.9,1771.8,18.08
3/8/2021,12000,230.4,76.9,1771.8,18.08
3/9/2021,12000,230.4,76.9,1771.8,18.08
3/10/2021,12000,230.4,76.9,1771.8,18.08
3/11/2021,12000,230.4,76.9,1771.8,18.08
3/12/2021,12000,230.4,76.9,1771.8,18.88
3/13/2021,12000,230.4,76.9,1771.8,18.88
3/14/2021,12000,230.4,76.9,1771.8,18.88
3/15/2021,11500,230.4,76.9,1771.8,18.88
3/16/2021,11500,230.4,76.9,1771.8,18.88
3/17/2021,11500,230.4,76.9,1771.8,18.88
3/18/2021,11500,230.4,76.9,1771.8,18.88
3/19/2021,11500,230.4,76.9,1771.8,18.88
3/20/2021,11500,230.4,76.9,1771.8,18.88
3/21/2021,11500,230.4,76.9,1771.8,18.88
3/22/2021,11500,230.4,76.9,1771.8,18.88
3/23/2021,11500,230.4,76.9,1771.8,18.88
3/24/2021,11500,230.4,76.9,1771.8,18.88
3/25/2021,11500,230.4,76.9,1771.8,18.88
3/26/2021,11500,230.4,76.9,1771.8,18.88
3/27/2021,11500,230.4,76.9,1771.8,19.04
3/28/2021,11500,230.4,76.9,1771.8,19.04
3/29/2021,11500,230.4,76.9,1771.8,19.04
3/30/2021,11500,230.4,76.9,1771.8,19.04
3/31/2021,11500,230.4,76.9,1771.8,19.04
4/1/2021,11500,230.4,76.9,1771.8,19.04
4/2/2021,11500,230.4,76.9,1771.8,19.04
4/3/2021,11500,230.4,76.9,1771.8,19.04
4/4/2021,11500,230.4,76.9,1771.8,19.04
4/5/2021,11500,230.4,76.9,1771.8,19.04
4/6/2021,11500,230.4,76.9,1771.8,19.04
4/7/2021,11500,230.4,76.9,1771.8,19.04
4/8/2021,11500,230.4,76.9,1771.8,19.04
4/9/2021,11500,230.4,76.9,1771.8,19.04
4/10/2021,11500,230.4,76.9,1771.8,19.04
4/11/2021,11500,230.4,76.9,1771.8,19.04
4/12/2021,11500,230.4,76.9,1771.8,18.97
4/13/2021,11500,230.4,76.9,1771.8,18.97
4/14/2021,11500,230.4,76.9,1771.8,18.97
4/15/2021,11500,230.4,76.9,1771.8,18.97
4/16/2021,11500,230.4,76.9,1771.8,18.97
4/17/2021,11500,230.4,76.9,1771.8,18.97
4/18/2021,11500,230.4,76.9,1771.8,18.97
4/19/2021,11500,230.4,76.9,1771.8,18.97
4/20/2021,11500,230.4,76.9,1771.8,18.97
4/21/2021,11500,230.4,76.9,1771.8,18.97
4/22/2021,11500,230.4,76.9,1771.8,18.97
4/23/2021,12000,230.4,76.9,1771.8,18.97
4/24/2021,12000,230.4,76.9,1771.8,18.97
4/25/2021,12000,230.4,76.9,1771.8,18.97
4/26/2021,12000,230.4,76.9,1771.8,18.97
4/27/2021,12000,230.4,76.9,1771.8,19.16
4/28/2021,12000,230.4,76.9,1771.8,19.16
4/29/2021,11500,230.4,76.9,1771.8,19.16
4/30/2021,11500,230.4,76.9,1771.8,19.16
5/1/2021,11500,230.4,76.9,1771.8,19.16
5/2/2021,11500,230.4,76.9,1771.8,19.16
5/3/2021,11500,230.4,76.9,1771.8,19.16
5/4/2021,12000,230.4,76.9,1771.8,19.16
5/5/2021,12000,230.4,76.9,1771.8,19.16
5/6/2021,12000,230.4,76.9,1771.8,19.16
5/7/2021,12000,230.4,76.9,1771.8,19.16
5/8/2021,12000,230.4,76.9,1771.8,19.16
5/9/2021,12000,230.4,76.9,1771.8,19.16
5/10/2021,12000,230.4,76.9,1771.8,19.16
5/11/2021,12000,230.4,76.9,1771.8,19.16
5/12/2021,12000,230.4,76.9,1771.8,19.53
5/13/2021,12000,230.4,76.9,1771.8,19.53
5/14/2021,12000,230.4,76.9,1771.8,19.53
5/15/2021,12000,230.4,76.9,1771.8,19.53
5/16/2021,12000,230.4,76.9,1771.8,19.53
5/17/2021,12000,230.4,76.9,1771.8,19.53
5/18/2021,12000,230.4,76.9,1771.8,19.53
5/19/2021,12000,230.4,76.9,1771.8,19.53
5/20/2021,12000,230.4,76.9,1771.8,19.53
5/21/2021,12000,230.4,76.9,1771.8,19.53
5/22/2021,12000,230.4,76.9,1771.8,19.53
5/23/2021,12000,230.4,76.9,1771.8,19.53
5/24/2021,12000,230.4,76.9,1771.8,19.53
5/25/2021,12000,230.4,76.9,1771.8,19.53
5/26/2021,12000,230.4,76.9,1771.8,19.53
5/27/2021,12000,230.4,76.9,1771.8,19.53
5/28/2021,12000,230.4,76.9,1771.8,19.53
5/29/2021,12000,230.4,76.9,1771.8,19.53
5/30/2021,12000,230.4,76.9,1771.8,19.53
5/31/2021,12000,230.4,76.9,1771.8,19.53
6/1/2021,12000,230.4,76.9,1771.8,19.53
6/2/2021,12000,230.4,76.9,1771.8,19.53
6/3/2021,12000,230.4,76.9,1771.8,19.53
6/4/2021,12000,230.4,76.9,1771.8,19.53
6/5/2021,12000,230.4,76.9,1771.8,19.53
6/6/2021,12000,230.4,76.9,1771.8,19.53
6/7/2021,12000,230.4,76.9,1771.8,19.53
6/8/2021,12000,230.4,76.9,1771.8,19.53
6/9/2021,12000,230.4,76.9,1771.8,19.53
6/10/2021,12500,230.4,76.9,1771.8,19.53
6/11/2021,13250,230.4,76.9,1771.8,20.16
6/12/2021,13250,230.4,76.9,1771.8,20.16
6/13/2021,13250,230.4,76.9,1771.8,20.16
6/14/2021,12500,230.4,76.9,1771.8,20.16
6/15/2021,12500,230.4,76.9,1771.8,20.16
6/16/2021,12500,230.4,76.9,1771.8,20.16
6/17/2021,12500,230.4,76.9,1771.8,20.16
6/18/2021,12500,230.4,76.9,1771.8,20.16
6/19/2021,12500,230.4,76.9,1771.8,20.16
6/20/2021,12500,230.4,76.9,1771.8,20.16
6/21/2021,12500,230.4,76.9,1771.8,20.16
6/22/2021,12500,230.4,76.9,1771.8,20.16
6/23/2021,12500,230.4,76.9,1771.8,20.16
6/24/2021,12000,230.4,76.9,1771.8,20.16
6/25/2021,12000,230.4,76.9,1771.8,20.16
6/26/2021,12000,230.4,76.9,1771.8,20.91
6/27/2021,12000,230.4,76.9,1771.8,20.91
6/28/2021,12000,230.4,76.9,1771.8,20.91
6/29/2021,12000,230.4,76.9,1771.8,20.91
6/30/2021,12000,230.4,76.9,1771.8,20.91
7/1/2021,12000,230.4,76.9,1771.8,20.91
7/2/2021,12000,230.4,76.9,1771.8,20.91
7/3/2021,12000,230.4,76.9,1771.8,20.91
7/4/2021,12000,230.4,76.9,1771.8,20.91
7/5/2021,12000,230.4,76.9,1771.8,20.91
7/6/2021,12000,230.4,76.9,1771.8,20.91
7/7/2021,12000,230.4,76.9,1771.8,20.91
7/8/2021,12000,230.4,76.9,1771.8,20.91
7/9/2021,12000,230.4,76.9,1771.8,20.91
7/10/2021,12000,230.4,76.9,1771.8,20.91
7/11/2021,12000,230.4,76.9,1771.8,20.91
7/12/2021,12000,230.4,76.9,1771.8,21.78
7/13/2021,12000,230.4,76.9,1771.8,21.78
7/14/2021,12000,230.4,76.9,1771.8,21.78
7/15/2021,12000,230.4,76.9,1771.8,21.78
7/16/2021,12000,230.4,76.9,1771.8,21.78
7/17/2021,12000,230.4,76.9,1771.8,21.78
7/18/2021,12000,230.4,76.9,1771.8,21.78
7/19/2021,12000,230.4,76.9,1771.8,21.78
7/20/2021,12000,230.4,76.9,1771.8,21.78
7/21/2021,12000,230.4,76.9,1771.8,21.78
7/22/2021,12000,230.4,76.9,1771.8,21.78
7/23/2021,12000,230.4,76.9,1771.8,21.78
7/24/2021,12000,230.4,76.9,1771.8,21.78
7/25/2021,12000,230.4,76.9,1771.8,21.78
7/26/2021,12500,230.4,76.9,1771.8,21.78
7/27/2021,12500,230.4,76.9,1771.8,21.68
7/28/2021,12500,230.4,76.9,1771.8,21.68
7/29/2021,12500,230.4,76.9,1771.8,21.68
7/30/2021,12500,230.4,76.9,1771.8,21.68
7/31/2021,12500,230.4,76.9,1771.8,21.68
8/1/2021,12500,230.4,76.9,1771.8,21.68
8/2/2021,12500,230.4,76.9,1771.8,21.68
8/3/2021,12500,230.4,76.9,1771.8,21.68
8/4/2021,12800,230.4,76.9,1771.8,21.68
8/5/2021,12800,230.4,76.9,1771.8,21.68
8/6/2021,12000,230.4,76.9,1771.8,21.68
8/7/2021,12000,230.4,76.9,1771.8,21.68
8/8/2021,12000,230.4,76.9,1771.8,21.68
8/9/2021,12000,230.4,76.9,1771.8,21.68
8/10/2021,11500,230.4,76.9,1771.8,21.68
8/11/2021,11500,230.4,76.9,1771.8,21.68
8/12/2021,11500,230.4,76.9,1771.8,21.68
8/13/2021,11500,230.4,76.9,1771.8,21.68
8/14/2021,11500,230.4,76.9,1771.8,21.68
8/15/2021,11500,230.4,76.9,1771.8,21.68
8/16/2021,11500,230.4,76.9,1771.8,21.68
8/17/2021,11500,230.4,76.9,1771.8,21.68
8/18/2021,11500,230.4,76.9,1771.8,21.68
8/19/2021,11500,230.4,76.9,1771.8,21.68
8/20/2021,11500,230.4,76.9,1771.8,21.68
8/21/2021,11500,230.4,76.9,1771.8,21.68
8/22/2021,11500,230.4,76.9,1771.8,21.68
8/23/2021,11500,230.4,76.9,1771.8,21.68
8/24/2021,11500,230.4,76.9,1771.8,21.68
8/25/2021,11500,230.4,76.9,1771.8,21.68
8/26/2021,11500,230.4,76.9,1771.8,21.13
8/27/2021,11500,230.4,76.9,1771.8,21.13
8/28/2021,11500,230.4,76.9,1771.8,21.13
8/29/2021,11500,230.4,76.9,1771.8,21.13
8/30/2021,11500,230.4,76.9,1771.8,21.13
8/31/2021,11500,230.4,76.9,1771.8,21.13
9/1/2021,11500,230.4,76.9,1771.8,21.13
9/2/2021,11500,230.4,76.9,1771.8,21.13
9/3/2021,11500,230.4,76.9,1771.8,21.13
9/4/2021,11500,230.4,76.9,1771.8,21.13
9/5/2021,11500,230.4,76.9,1771.8,21.13
9/6/2021,11500,230.4,76.9,1771.8,21.13
9/7/2021,11500,230.4,76.9,1771.8,21.13
9/8/2021,11500,230.4,76.9,1771.8,21.13
9/9/2021,11500,230.4,76.9,1771.8,21.13
9/10/2021,11500,230.4,76.9,1771.8,21.39
9/11/2021,11500,230.4,76.9,1771.8,21.39
9/12/2021,11500,230.4,76.9,1771.8,21.39
9/13/2021,11500,230.4,76.9,1771.8,21.39
9/14/2021,11500,230.4,76.9,1771.8,21.39
9/15/2021,11500,230.4,76.9,1771.8,21.39
9/16/2021,11500,230.4,76.9,1771.8,21.39
9/17/2021,11500,230.4,76.9,1771.8,21.39
9/18/2021,11500,230.4,76.9,1771.8,21.39
9/19/2021,11500,230.4,76.9,1771.8,21.39
9/20/2021,11500,230.4,76.9,1771.8,21.39
9/21/2021,11500,230.4,76.9,1771.8,21.39
9/22/2021,11500,230.4,76.9,1771.8,21.39
9/23/2021,11500,230.4,76.9,1771.8,21.39
9/24/2021,11500,230.4,76.9,1771.8,21.39
9/25/2021,11500,230.4,76.9,1771.8,21.94
9/26/2021,11500,230.4,76.9,1771.8,21.94
9/27/2021,11500,230.4,76.9,1771.8,21.94
9/28/2021,11500,230.4,76.9,1771.8,21.94
9/29/2021,11500,230.4,76.9,1771.8,21.94
9/30/2021,11500,230.4,76.9,1771.8,21.94
10/1/2021,11500,230.4,76.9,1771.8,21.94
10/2/2021,11500,230.4,76.9,1771.8,21.94
10/3/2021,11500,230.4,76.9,1771.8,21.94
10/4/2021,11500,230.4,76.9,1771.8,21.94
10/5/2021,11500,230.4,76.9,1771.8,21.94
10/6/2021,11500,230.4,76.9,1771.8,21.94
10/7/2021,12000,230.4,76.9,1771.8,21.94
10/8/2021,12000,230.4,76.9,1771.8,21.94
10/9/2021,12000,230.4,76.9,1771.8,21.94
10/10/2021,12000,230.4,76.9,1771.8,21.94
10/11/2021,11500,230.4,76.9,1771.8,22.87
10/12/2021,11500,230.4,76.9,1771.8,22.87
10/13/2021,11500,230.4,76.9,1771.8,22.87
10/14/2021,11500,230.4,76.9,1771.8,22.87
10/15/2021,11500,230.4,76.9,1771.8,22.87
10/16/2021,11500,230.4,76.9,1771.8,22.87
10/17/2021,11500,230.4,76.9,1771.8,22.87
10/18/2021,11500,230.4,76.9,1771.8,22.87
10/19/2021,11500,230.4,76.9,1771.8,22.87
10/20/2021,11500,230.4,76.9,1771.8,22.87
10/21/2021,11500,230.4,76.9,1771.8,22.87
10/22/2021,11500,230.4,76.9,1771.8,22.87
10/23/2021,11500,230.4,76.9,1771.8,22.87
10/24/2021,11500,230.4,76.9,1771.8,22.87
10/25/2021,11500,230.4,76.9,1771.8,22.87
10/26/2021,11500,230.4,76.9,1771.8,24.33
10/27/2021,11500,230.4,76.9,1771.8,24.33
10/28/2021,11500,230.4,76.9,1771.8,24.33
10/29/2021,11500,230.4,76.9,1771.8,24.33
10/30/2021,11500,230.4,76.9,1771.8,24.33
10/31/2021,11500,230.4,76.9,1771.8,24.33
11/1/2021,11500,230.4,76.9,1771.8,24.33
11/2/2021,11500,230.4,76.9,1771.8,24.33
11/3/2021,11500,230.4,76.9,1771.8,24.33
11/4/2021,11500,230.4,76.9,1771.8,24.33
11/5/2021,12000,230.4,76.9,1771.8,24.33
11/6/2021,12000,230.4,76.9,1771.8,24.33
11/7/2021,12000,230.4,76.9,1771.8,24.33
11/8/2021,12000,230.4,76.9,1771.8,24.33
11/9/2021,13000,230.4,76.9,1771.8,24.33
11/10/2021,12000,230.4,76.9,1771.8,24.99
11/11/2021,12000,230.4,76.9,1771.8,24.99
11/12/2021,12000,230.4,76.9,1771.8,24.99
11/13/2021,12000,230.4,76.9,1771.8,24.99
11/14/2021,12000,230.4,76.9,1771.8,24.99
11/15/2021,12000,230.4,76.9,1771.8,24.99
11/16/2021,12000,230.4,76.9,1771.8,24.99
11/17/2021,12000,230.4,76.9,1771.8,24.99
11/18/2021,12000,230.4,76.9,1771.8,24.99
11/19/2021,12000,230.4,76.9,1771.8,24.99
11/20/2021,12000,230.4,76.9,1771.8,24.99
11/21/2021,12000,230.4,76.9,1771.8,24.99
11/22/2021,12000,230.4,76.9,1771.8,24.99
11/23/2021,12000,230.4,76.9,1771.8,24.99
11/24/2021,12000,230.4,76.9,1771.8,24.99
11/25/2021,12000,230.4,76.9,1771.8,23.9
11/26/2021,12000,230.4,76.9,1771.8,23.9
11/27/2021,12000,230.4,76.9,1771.8,23.9
11/28/2021,12000,230.4,76.9,1771.8,23.9
11/29/2021,12000,230.4,76.9,1771.8,23.9
